koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_depth,koi_duration,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_impact,koi_sma,koi_steff,total_fp_flags,planet_density_proxy,habitable_zone_proxy,transit_intensity,koi_disposition
0.0,0.0,1.0,1.0,1.540397253,816.1,2.1541,38.8,25.69,1470.0,1105.68,1.225,0.0264,5663.0,2.0,0.017464309993201903,0.026135958924624468,1757.9610100000002,FALSE POSITIVE
0.0,0.0,1.0,1.0,2.99025443,589.2,5.414,48.5,1.7,918.0,168.45,0.014,0.0367,4667.0,2.0,0.0018498367791077257,0.03298345880685158,3189.9288,FALSE POSITIVE
0.0,0.0,0.0,0.0,1.594745374,15044.0,1.9604,1009.3,11.3,1539.0,1329.42,0.514,0.0258,5934.0,0.0,0.007337662337662338,0.026145966969784207,29492.257599999997,CONFIRMED
0.0,0.0,0.0,0.0,4.783002698,1008.7,2.335,70.6,2.5,886.0,145.48,0.003,0.0535,5170.0,0.0,0.002818489289740699,0.05060696409403369,2355.3145,CONFIRMED
0.0,0.0,0.0,0.0,20.50588921,2105.5,4.0595,78.5,3.41,518.0,17.06,0.26,0.1326,4905.0,0.0,0.006570327552986512,0.12217272513271994,8547.27725,CONFIRMED
0.0,0.0,0.0,0.0,3.340218842,1632.6,1.9104,71.6,2.03,656.0,43.73,0.466,0.0348,3950.0,0.0,0.003089802130898021,0.028773256880764812,3118.9190399999998,CONFIRMED
0.0,1.0,1.0,0.0,2.507089906,1339.2,2.0067,64.9,30.26,1326.0,730.47,1.255,0.0365,5926.0,2.0,0.022803315749811606,0.03696450707992961,2687.37264,FALSE POSITIVE
0.0,0.0,0.0,0.0,18.64932728,893.6,4.4056,46.1,3.12,701.0,57.13,0.08,0.139,5775.0,0.0,0.0044444444444444444,0.13896391016426254,3936.8441599999996,CONFIRMED
0.0,0.0,0.0,0.0,4.90144976,140.7,4.1654,50.6,1.7,1262.0,598.74,0.529,0.0586,5847.0,0.0,0.0013460015835312746,0.058948857747193516,586.07178,CONFIRMED
0.0,0.0,0.0,0.0,9.75192101,418.0,4.793,28.5,2.76,870.0,135.66,0.949,0.0902,5775.0,0.0,0.003168771526980482,0.09017658055263655,2003.4740000000002,CONFIRMED
0.0,0.0,0.0,0.0,38.5576546,993.0,5.794,39.7,4.02,550.0,21.71,0.911,0.2255,5775.0,0.0,0.007295825771324863,0.22544145138159136,5753.442,CONFIRMED
0.0,0.0,0.0,0.0,3.525632539,22335.0,2.59959,1996.7,11.58,975.0,213.12,0.12,0.0431,5150.0,0.0,0.011864754098360656,0.04069041469066352,58061.84265,CONFIRMED
0.0,0.0,0.0,0.0,34.84398644,4523.6,2.9315,76.8,7.61,511.0,16.1,0.934,0.1971,5509.0,0.0,0.01486328125,0.19245723484190105,13260.933400000002,CANDIDATE
0.0,0.0,0.0,0.0,7.748094239,2472.1,3.5957,113.2,5.52,964.0,204.39,0.517,0.081,5973.0,0.0,0.00572020725388601,0.08235548089620302,8888.92997,CONFIRMED
0.0,0.0,0.0,0.0,23.96793669,1182.3,3.827,27.5,1.8,329.0,2.77,0.416,0.1322,3747.0,0.0,0.005454545454545455,0.1064595271649993,4524.6621,CONFIRMED
0.0,0.0,0.0,0.0,8.29561738,824.3,1.3421,17.9,1.82,469.0,11.39,0.888,0.0652,3747.0,0.0,0.003872340425531915,0.05250500129468951,1106.29303,CONFIRMED
0.0,0.0,0.0,0.0,8.11437482,1558.0,2.2736,56.4,2.1,460.0,10.55,0.573,0.0649,3692.0,0.0,0.00455531453362256,0.05187842399047555,3542.2688000000003,CONFIRMED
0.0,1.0,0.0,0.0,38.036729482,82872.0,4.34617,1300.0,27.5,500.0,14.81,0.501,0.2252,5575.0,1.0,0.054890219560878244,0.22120862348826473,360175.80024,FALSE POSITIVE
0.0,0.0,0.0,0.0,4.64090031,2450.6,30.04754200000019,296.9,30.09,1155.0,421.08,1.28,0.0503,6463.0,0.0,0.02602941176470588,0.05319812116220503,73634.50642520045,CANDIDATE
0.0,1.0,1.0,1.0,3.747838198,616.0,5.0642,138.2,13.65,1031.0,266.76,1.121,0.046,5514.0,3.0,0.013226744186046512,0.044936831168106914,3119.5472,FALSE POSITIVE
0.0,0.0,0.0,0.0,14.74914825,430.2,6.0995,107.4,2.89,874.0,137.91,0.173,0.1221,5847.0,0.0,0.003302857142857143,0.12282688619338444,2624.0049,CONFIRMED
0.0,0.0,0.0,0.0,21.81295996,1175.4,4.3791,37.8,3.38,639.0,39.33,0.053,0.1495,5601.0,0.0,0.0052812499999999995,0.14719234022451178,5147.1941400000005,CONFIRMED
0.0,1.0,0.0,0.0,7.91936937,15148.0,3.3148,389.0,10.34,814.0,104.0,0.733,0.0737,5690.0,1.0,0.012687116564417178,0.07313661439273848,50212.5904,FALSE POSITIVE
0.0,0.0,0.0,0.0,1.028436523,8098.0,1.8606,89.6,72.77,1947.0,3400.48,1.5734,0.0197,6228.0,0.0,0.03735626283367556,0.02045275233022734,15067.1388,CANDIDATE
0.0,0.0,0.0,0.0,15.37562369,15337.0,3.3169,166.0,11.01,600.0,30.54,0.692,0.1121,4986.0,0.0,0.018319467554076537,0.10413410312199269,50871.2953,CONFIRMED
0.0,0.0,0.0,0.0,8.10363271,887.9,3.161,39.3,2.11,687.0,52.82,0.047,0.0712,4861.0,0.0,0.003066860465116279,0.06530614306941558,2806.6519,CONFIRMED
0.0,0.0,0.0,0.0,4.71510843,417.5,2.506,21.3,1.46,823.0,108.84,0.258,0.0496,4861.0,0.0,0.0017718446601941748,0.04549416708206478,1046.2549999999999,CONFIRMED
0.0,0.0,0.0,0.0,6.365839713,780.7,2.9721,70.8,2.44,914.0,165.33,0.524,0.0659,5776.0,0.0,0.0026666666666666666,0.06588859368230314,2320.31847,CONFIRMED
0.0,0.0,1.0,0.0,5.97581754,962.4,3.065,50.3,3.86,1047.0,284.25,0.941,0.066,6108.0,1.0,0.003683206106870229,0.06785856649479838,2949.756,FALSE POSITIVE
0.0,0.0,1.0,1.0,2.446737317,1177.9,4.7211,110.2,26.25,1261.0,597.19,1.241,0.0351,5764.0,2.0,0.020800316957210775,0.03505745084590556,5560.98369,FALSE POSITIVE
0.0,0.0,0.0,0.0,3.04033046,10859.0,1.8411,568.2,8.99,1021.0,257.29,0.736,0.0374,5035.0,0.0,0.008796477495107632,0.034912630405847585,19992.5049,CONFIRMED
