orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,final_disposition,source_mission
11.76307164,2.9076,1037.3,2.35,616.0,33.99,0.756,4959.0,CONFIRMED,KEPLER
56.2279271,3.57,862.7,2.37,366.0,4.22,0.756,4959.0,CONFIRMED,KEPLER
2.384052875,3.0918,1268.1,17.06,1010.0,244.87,0.701,4794.0,FALSE_POSITIVE,KEPLER
7.953547,2.6312,875.4,2.25,696.0,55.37,0.779,4768.0,CONFIRMED,KEPLER
4.14451656,2.3421,391.8,1.48,864.0,132.08,0.779,4768.0,CONFIRMED,KEPLER
4.859386384,2.2757,6044.3,38.33,1114.0,364.23,0.988,6072.0,FALSE_POSITIVE,KEPLER
10.526294577,2.5211,9768.0,8.24,713.0,61.16,0.793,5386.0,CONFIRMED,KEPLER
4.583520948,2.7055,3812.1,5.39,1038.0,274.98,0.877,5815.0,CONFIRMED,KEPLER
3.76181843,3.5176,510.6,2.66,1121.0,372.62,0.949,5653.0,CONFIRMED,KEPLER
8.20396958,2.9667,1024.4,3.01,742.0,71.5,0.826,5015.0,CONFIRMED,KEPLER
14.49645186,4.016,647.5,3.01,613.0,33.48,0.826,5015.0,CONFIRMED,KEPLER
6.54626149,2.75,655.9,2.19,810.0,101.78,0.817,5251.0,CONFIRMED,KEPLER
12.71809866,3.0957,1149.4,2.31,562.0,23.6,0.686,4702.0,CONFIRMED,KEPLER
36.06588163,4.3246,1563.8,2.64,397.0,5.88,0.686,4702.0,CONFIRMED,KEPLER
4.190425659,2.8589,2877.4,6.21,1234.0,547.9,1.135,6073.0,CONFIRMED,KEPLER
3.709870784,3.0694,2020.3,4.35,1151.0,415.1,0.978,5727.0,CONFIRMED,KEPLER
16.3297527,6.271,1187.5,3.75,727.0,66.08,0.987,5878.0,CONFIRMED,KEPLER
27.807566216,4.21587,25391.0,13.84,554.0,22.24,0.785,5862.0,CONFIRMED,KEPLER
80.8723469,11.195,3604.6,7.59,452.0,9.88,1.238,5510.0,CONFIRMED,KEPLER
3.166465862,2.9381,4357.2,26.82,954.0,196.31,0.704,4968.0,FALSE_POSITIVE,KEPLER
24.99324319,5.9409,269.6,2.29,712.0,60.88,1.317,5718.0,CONFIRMED,KEPLER
10.35533116,3.1775,750.6,2.47,777.0,86.22,0.918,5501.0,CONFIRMED,KEPLER
16.08518937,3.984,1442.4,3.68,613.0,33.43,0.826,5239.0,CONFIRMED,KEPLER
235.9986399,8.2284,20715.0,10.59,188.0,0.29,0.657,4245.0,CANDIDATE,KEPLER
7.49018305,2.7297,1123.6,2.56,753.0,76.06,0.787,5103.0,CONFIRMED,KEPLER
36.2761238,4.7865,1572.6,3.03,445.0,9.29,0.787,5103.0,CONFIRMED,KEPLER
17.46087931,2.2641,812.4,2.32,568.0,24.6,0.787,5103.0,CONFIRMED,KEPLER
56.0560754,4.685,1626.0,1.94,233.0,0.69,0.491,3593.0,CONFIRMED,KEPLER
41.408316686,5.0264,22839.0,11.38,453.0,9.93,0.747,5522.0,CONFIRMED,KEPLER
39.74893077,7.3051,15179.0,14.21,552.0,21.87,0.964,6122.0,CANDIDATE,KEPLER
5.715425977,2.5242,908.1,2.47,850.0,123.03,0.826,5237.0,CONFIRMED,KEPLER
49.18394185,11.3364,1646.2,8.2,669.0,47.4,2.057,5626.0,CONFIRMED,KEPLER
20.0261412,1.611,421.2,2.28,559.0,23.14,0.826,5237.0,CONFIRMED,KEPLER
13.61014819,2.594,5732.9,19.02,733.0,68.29,0.903,5697.0,CANDIDATE,KEPLER
10.44331991,2.743,1159.8,2.66,667.0,46.94,0.802,4947.0,FALSE_POSITIVE,KEPLER
2.237489571,1.8119,315.8,1.41,1160.0,427.17,0.81,5265.0,CONFIRMED,KEPLER
5.851520671,3.11058,33004.0,14.62,901.0,155.89,0.806,5532.0,FALSE_POSITIVE,KEPLER
3.167893418,2.1814,781.2,2.62,1221.0,526.23,0.94,5895.0,CONFIRMED,KEPLER
4.311780262,2.7251,1154.0,3.11,1038.0,274.84,0.927,5527.0,CONFIRMED,KEPLER
20.0504494,4.556,840.9,2.69,622.0,35.44,0.927,5527.0,CONFIRMED,KEPLER
9.76734503,1.6585,569.1,2.67,791.0,92.46,0.927,5527.0,CONFIRMED,KEPLER
119.0207044,8.1405,7430.5,8.98,366.0,4.25,1.062,5453.0,CANDIDATE,KEPLER
190.3200468,15.284,1141.7,7.78,426.0,7.8,2.057,5626.0,CONFIRMED,KEPLER
2.861159894,1.8832,1014.3,4.37,1355.0,797.1,1.021,6126.0,FALSE_POSITIVE,KEPLER
26.44439337,3.9783,1843.5,3.91,562.0,23.54,0.929,5427.0,CONFIRMED,KEPLER
51.53997972,6.3994,3644.3,5.51,450.0,9.67,0.929,5427.0,CONFIRMED,KEPLER
5.902245782,2.9003,702.3,2.43,926.0,173.74,0.929,5427.0,CONFIRMED,KEPLER
2.382951591,1.8876,391.6,1.86,1253.0,583.01,0.929,5427.0,CONFIRMED,KEPLER
21.02250608,4.1072,1772.5,3.07,521.0,17.48,0.75,5067.0,CONFIRMED,KEPLER
3.219814777,2.0642,488.2,1.69,998.0,234.93,0.787,5103.0,CONFIRMED,KEPLER
5.912273234,2.3254,961.4,1.73,585.0,27.72,0.57,4072.0,CONFIRMED,KEPLER
8.98581901,2.8606,881.3,1.65,509.0,15.9,0.57,4072.0,CONFIRMED,KEPLER
12.940668656,2.4845,42450.0,22.94,723.0,64.64,0.809,5875.0,CANDIDATE,KEPLER
20.5452375,2.517,218.5,2.41,742.0,71.57,1.264,5670.0,FALSE_POSITIVE,KEPLER
33.60123371,4.4056,7425.9,8.46,495.0,14.22,0.93,5149.0,CONFIRMED,KEPLER
6.76652928,2.9004,450.7,1.97,845.0,120.48,0.93,5149.0,CONFIRMED,KEPLER
4.347288783,2.1024,451.6,2.36,1174.0,449.79,1.122,5754.0,CONFIRMED,KEPLER
4.601811819,2.2607,755.9,2.35,896.0,152.91,0.833,4986.0,CONFIRMED,KEPLER
11.18719905,3.252,353.6,1.55,667.0,46.65,0.833,4986.0,CONFIRMED,KEPLER
4.220965778,3.0854,2260.0,2.62,595.0,29.68,0.517,3837.0,CONFIRMED,KEPLER
6.998099523,2.0488,20285.0,588.66,853.0,125.22,0.829,5612.0,FALSE_POSITIVE,KEPLER
5.95489993,2.3892,1410.7,2.33,635.0,38.52,0.633,4261.0,CONFIRMED,KEPLER
12.03987488,2.7363,1250.6,2.18,502.0,15.06,0.633,4261.0,CONFIRMED,KEPLER
20.83762895,2.3734,439.0,1.42,418.0,7.24,0.633,4261.0,CONFIRMED,KEPLER
8.8111022,5.0683,401.1,63.66,1399.0,904.92,2.404,6200.0,FALSE_POSITIVE,KEPLER
23.58917143,5.073,1200.7,3.16,487.0,13.34,0.721,4919.0,CONFIRMED,KEPLER
6.481633073,3.784,298.5,2.54,1145.0,406.25,1.302,5945.0,CONFIRMED,KEPLER
10.37168928,3.035,1254.9,3.2,720.0,63.68,0.888,5121.0,CONFIRMED,KEPLER
3.96996298,1.1757,299.2,1.78,992.0,229.37,0.888,5121.0,CONFIRMED,KEPLER
4.40841331,5.012,549.4,2.66,1139.0,398.0,0.961,6007.0,CONFIRMED,KEPLER
7.9426176,6.703,1590.7,4.68,878.0,140.57,0.926,5811.0,FALSE_POSITIVE,KEPLER
226.8904775,7.558,3136.4,4.53,236.0,0.73,0.75,5067.0,CONFIRMED,KEPLER
1.956811408,2.1958,24905.0,21.58,1109.0,357.16,0.603,5209.0,FALSE_POSITIVE,KEPLER
2.688899233,2.11275,37492.0,12.04,929.0,175.76,0.639,4820.0,CANDIDATE,KEPLER
9.439459486,2.8979,3036.1,4.16,686.0,52.32,0.779,5097.0,CONFIRMED,KEPLER
11.523067458,3.8757,507.3,3.13,927.0,174.81,1.411,5644.0,CONFIRMED,KEPLER
20.47748843,2.8364,1382.4,2.92,530.0,18.65,0.779,5097.0,CONFIRMED,KEPLER
3.336123113,1.9616,516.3,1.74,970.0,209.79,0.779,5097.0,CONFIRMED,KEPLER
8.01078456,2.312,1333.6,1.72,453.0,9.9,0.47,3713.0,CONFIRMED,KEPLER
12.07134205,4.3224,759.2,1.29,395.0,5.74,0.47,3713.0,CONFIRMED,KEPLER
